"TESTING PROCEDURE","REFERENCE NAME","EVIDENCE CATEGORY","REASONING"
"1.1.1 (Part 1 - Examine Documentation)","Requirement 1.1.1.. Security Policies and Operational Procedures Management Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 1 are managed in accordance with all specified elements, fitting under the review of documents."
"1.1.1 (Part 2 - Interview Personnel)","Requirement 1.1.1.. Security Policies and Operational Procedures Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 1 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"1.1.2.a","Requirement 1.1.2..a Roles and Responsibilities for Requirement 1 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 1 are documented and assigned, fitting under the review of documents."
"1.1.2.b","Requirement 1.1.2..b Roles and Responsibilities for Requirement 1 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel responsible for performing activities in Requirement 1 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"1.2.1.a","Requirement 1.2.1..a NSC Rulesets Configuration Standards Examination","Documentation Evidence","This involves examining the configuration standards for Network Security Controls (NSC) rulesets to verify that the standards are in accordance with all specified elements in the requirement, fitting under the review of documents."
"1.2.1.b","Requirement 1.2.1..b NSC Rulesets Configuration Settings Implementation Examination","Documentation Evidence","This part involves examining the configuration settings for NSC rulesets to verify that the rulesets are implemented according to the configuration standards, aligning with the review of documents."
"1.2.2.a","Requirement 1.2.2..a Network Connections and NSC Configuration Change Control Procedures Examination","Documentation Evidence","This involves examining documented procedures to verify that changes to network connections and configurations of Network Security Controls (NSCs) are included in the formal change control process in accordance with Requirement 6.5.1, fitting under the review of documents."
"1.2.2.b (Part 1 - Examine Network Configuration Settings)","Requirement 1.2.2..b Network Connections Change Control Configuration Settings Examination","Documentation Evidence","This part involves examining network configuration settings to identify changes made to network connections, ensuring they align with the change control requirements of Requirement 6.5.1, fitting under the review of documents."
"1.2.2.b (Part 2 - Interview Personnel and Examine Change Control Records)","Requirement 1.2.2..b Network Connections Change Control Approval and Management Verification Interviews and Records Examination","Documentation Evidence and Interview Evidence","This requires interviewing responsible personnel and examining change control records to verify that identified changes to network connections were approved and managed in accordance with Requirement 6.5.1, aligning with the collection of interview notes and the review of documents."
"1.2.2.c (Part 1 - Examine Network Configuration Settings)","Requirement 1.2.2..c NSC Configuration Change Control Configuration Settings Examination","Documentation Evidence","This involves examining network configuration settings to identify changes made to configurations of NSCs, ensuring they adhere to the change control process as per Requirement 6.5.1, which fits under the review of documents."
"1.2.2.c (Part 2 - Interview Personnel and Examine Change Control Records)","Requirement 1.2.2..c NSC Configuration Change Control Approval and Management Verification Interviews and Records Examination","Documentation Evidence and Interview Evidence","This requires interviewing responsible personnel and examining change control records to verify that identified changes to NSC configurations were approved and managed in accordance with Requirement 6.5.1, aligning with the collection of interview notes and the review of documents."
"1.2.3.a","Requirement 1.2.3..a Network Diagrams and Configurations Accuracy Examination","Documentation Evidence","This involves examining network diagrams and network configurations to verify that an accurate network diagram exists in accordance with all elements specified in the requirement, fitting under the review of documents."
"1.2.3.b (Part 1 - Examine Documentation)","Requirement 1.2.3..b Network Diagrams Accuracy and Update Process Documentation Examination","Documentation Evidence","This part involves examining documentation to verify that the network diagram is accurate and updated when there are changes to the environment, aligning with the review of documents."
"1.2.3.b (Part 2 - Interview Personnel)","Requirement 1.2.3..b Network Diagrams Accuracy and Update Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to confirm that the network diagrams are accurate and maintained up-to-date with environmental changes, which aligns with the collection of interview notes."
"1.2.4.a","Requirement 1.2.4..a Account Data Flow Diagrams Completeness Examination","Documentation Evidence","This involves examining data-flow diagrams and interviewing personnel to verify that the diagrams accurately show all account data flows in accordance with all specified elements, fitting under the review of documents."
"1.2.4.b (Part 1 - Examine Documentation)","Requirement 1.2.4..b Data Flow Diagrams Accuracy and Update Process Documentation Examination","Documentation Evidence","This part involves examining documentation to verify that the data-flow diagrams are accurate and updated when there are changes to the environment, aligning with the review of documents."
"1.2.4.b (Part 2 - Interview Personnel)","Requirement 1.2.4..b Data Flow Diagrams Accuracy and Update Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to confirm that the data-flow diagrams are accurate and maintained up-to-date with environmental changes, which aligns with the collection of interview notes."
"1.2.5.a","Requirement 1.2.5..a Approved Services Protocols and Ports List Documentation Examination","Documentation Evidence","This involves examining documentation to verify that a list exists of all allowed services, protocols, and ports, including business justification and approval for each, fitting under the review of documents."
"1.2.5.b","Requirement 1.2.5..b NSC Approved Services Protocols and Ports Usage Configuration Settings Examination","Documentation Evidence","This part involves examining configuration settings for Network Security Controls (NSCs) to verify that only approved services, protocols, and ports are in use, aligning with the review of documents."
"1.2.6.a","Requirement 1.2.6..a Insecure Services Protocols and Ports Mitigation Measures Documentation Examination","Documentation Evidence","This involves examining documentation that identifies all insecure services, protocols, and ports in use, verifying that security features are defined to mitigate the risk, fitting under the review of documents."
"1.2.6.b","Requirement 1.2.6..b NSC Insecure Services Protocols and Ports Security Features Implementation Examination","Documentation Evidence","This part involves examining configuration settings for Network Security Controls (NSCs) to verify that the defined security features are implemented for each identified insecure service, protocol, and port, aligning with the review of documents."
"1.2.7.a","Requirement 1.2.7..a NSC Configuration Review Procedures Documentation Examination","Documentation Evidence","This involves examining documentation to verify procedures are defined for reviewing configurations of Network Security Controls (NSCs) at least once every six months, fitting under the review of documents."
"1.2.7.b (Part 1 - Examine Documentation of Reviews)","Requirement 1.2.7..b NSC Configuration Review Frequency Documentation Examination","Documentation Evidence","This part involves examining documentation of reviews of configurations for NSCs to verify that reviews occur at least once every six months, aligning with the review of documents."
"1.2.7.b (Part 2 - Interview Personnel)","Requirement 1.2.7..b NSC Configuration Review Frequency Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to confirm that reviews of NSC configurations are conducted biannually, which aligns with the collection of interview notes."
"1.2.7.c","Requirement 1.2.7..c NSC Unsupported Configuration Removal or Update Verification","Documentation Evidence","This involves examining configurations for NSCs to verify that configurations identified as no longer being supported by a business justification are removed or updated, fitting under the review of documents."
"1.2.8","Requirement 1.2.8.. NSC Configuration Files Compliance Examination","Documentation Evidence","This involves examining configuration files for Network Security Controls (NSCs) to verify they are in accordance with all elements specified in this requirement, fitting under the review of documents."
"1.3.1.a","Requirement 1.3.1..a NSC Inbound Traffic Restriction to CDE Configuration Standards Examination","Documentation Evidence","This involves examining configuration standards for Network Security Controls (NSCs) to verify that they define the restriction of inbound traffic to the Cardholder Data Environment (CDE) in accordance with all specified elements, fitting under the review of documents."
"1.3.1.b","Requirement 1.3.1..b NSC Inbound Traffic to CDE Restriction Configuration Compliance Examination","Documentation Evidence","This part involves examining configurations of NSCs to verify that inbound traffic to the CDE is restricted in accordance with all elements specified in this requirement, aligning with the review of documents."
"1.3.2.a","Requirement 1.3.2..a NSC Outbound Traffic Restriction from CDE Configuration Standards Examination","Documentation Evidence","This involves examining configuration standards for Network Security Controls (NSCs) to verify that they define the restriction of outbound traffic from the Cardholder Data Environment (CDE) in accordance with all specified elements, fitting under the review of documents."
"1.3.2.b","Requirement 1.3.2..b NSC Outbound Traffic from CDE Restriction Configuration Compliance Examination","Documentation Evidence","This part involves examining configurations of NSCs to verify that outbound traffic from the CDE is restricted in accordance with all elements specified in this requirement, aligning with the review of documents."
"1.3.3 (Part 1 - Examine Configuration Settings)","Requirement 1.3.3.. NSC Implementation for Wireless Networks to CDE Configuration Settings Examination","Documentation Evidence","This involves examining configuration settings to verify that Network Security Controls (NSCs) are implemented between all wireless networks and the Cardholder Data Environment (CDE) in accordance with all specified elements, fitting under the review of documents."
"1.3.3 (Part 2 - Examine Network Diagrams)","Requirement 1.3.3.. NSC Implementation in Wireless Networks to CDE Network Diagrams Examination","Documentation Evidence","This part involves examining network diagrams to confirm the implementation of NSCs between wireless networks and the CDE, ensuring compliance with the specified elements, which aligns with the review of documents."
"1.4.1.a","Requirement 1.4.1..a NSCs Between Trusted and Untrusted Networks Configuration Standards and Diagrams Examination","Documentation Evidence","This involves examining configuration standards and network diagrams to verify that Network Security Controls (NSCs) are defined between trusted and untrusted networks, fitting under the review of documents."
"1.4.1.b","Requirement 1.4.1..b NSCs Implementation Between Trusted and Untrusted Networks Configuration Compliance Examination","Documentation Evidence","This part involves examining network configurations to verify that NSCs are in place between trusted and untrusted networks, in accordance with the documented configuration standards and network diagrams, aligning with the review of documents."
"1.4.2 (Part 1 - Examine Vendor Documentation)","Requirement 1.4.2.. Inbound Traffic Restriction from Untrusted to Trusted Networks Vendor Documentation Examination","Documentation Evidence","This involves examining vendor documentation to verify that inbound traffic from untrusted networks to trusted networks is restricted in accordance with all specified elements, fitting under the review of documents."
